time_utc,32.8000_-116.4000_wind_cf,32.8000_-116.4000_solar_cf,35.0000_-117.3000_wind_cf,35.0000_-117.3000_solar_cf,35.5000_-118.3000_wind_cf,35.5000_-118.3000_solar_cf
2023-01-01 00:00:00+00:00,0.33,0.003,0.795,0.0,0.674,0.0
2023-01-01 01:00:00+00:00,0.317,0.0,0.794,0.0,0.697,0.0
2023-01-01 02:00:00+00:00,0.286,0.0,0.796,0.0,0.714,0.0
2023-01-01 03:00:00+00:00,0.244,0.0,0.844,0.0,0.755,0.0
2023-01-01 04:00:00+00:00,0.258,0.0,0.894,0.0,0.746,0.0
2023-01-01 05:00:00+00:00,0.305,0.0,0.914,0.0,0.645,0.0
2023-01-01 06:00:00+00:00,0.365,0.0,0.93,0.0,0.615,0.0
2023-01-01 07:00:00+00:00,0.504,0.0,0.928,0.0,0.61,0.0
2023-01-01 08:00:00+00:00,0.687,0.0,0.92,0.0,0.618,0.0
2023-01-01 09:00:00+00:00,0.77,0.0,0.882,0.0,0.659,0.0
2023-01-01 10:00:00+00:00,0.776,0.0,0.814,0.0,0.615,0.0
2023-01-01 11:00:00+00:00,0.765,0.0,0.729,0.0,0.571,0.0
2023-01-01 12:00:00+00:00,0.742,0.0,0.719,0.0,0.66,0.0
2023-01-01 13:00:00+00:00,0.744,0.0,0.712,0.0,0.68,0.0
2023-01-01 14:00:00+00:00,0.845,0.0,0.681,0.0,0.668,0.0
2023-01-01 15:00:00+00:00,0.906,0.043,0.685,0.121,0.693,0.006
2023-01-01 16:00:00+00:00,0.925,0.194,0.817,0.4,0.781,0.085
2023-01-01 17:00:00+00:00,0.963,0.409,0.914,0.576,0.829,0.151
2023-01-01 18:00:00+00:00,0.978,0.516,0.938,0.589,0.842,0.187
2023-01-01 19:00:00+00:00,0.983,0.486,0.932,0.533,0.835,0.191
2023-01-01 20:00:00+00:00,0.984,0.42,0.91,0.531,0.811,0.266
2023-01-01 21:00:00+00:00,0.981,0.349,0.875,0.478,0.78,0.352
2023-01-01 22:00:00+00:00,0.974,0.262,0.828,0.282,0.72,0.297
2023-01-01 23:00:00+00:00,0.945,0.116,0.745,0.163,0.618,0.205
2023-01-02 00:00:00+00:00,0.86,0.004,0.656,0.017,0.395,0.018
2023-01-02 01:00:00+00:00,0.854,0.0,0.641,0.0,0.305,0.0
2023-01-02 02:00:00+00:00,0.831,0.0,0.567,0.0,0.252,0.0
2023-01-02 03:00:00+00:00,0.812,0.0,0.477,0.0,0.235,0.0
