time_utc,45.7000_-120.7000_wind_cf,45.7000_-120.7000_solar_cf,33.9000_-116.8000_wind_cf,33.9000_-116.8000_solar_cf,39.5000_-104.5000_wind_cf,39.5000_-104.5000_solar_cf
2023-01-01 00:00:00+00:00,0.18,0.0,0.249,0.0,0.01,0.0
2023-01-01 01:00:00+00:00,0.206,0.0,0.302,0.0,0.02,0.0
2023-01-01 02:00:00+00:00,0.213,0.0,0.384,0.0,0.028,0.0
2023-01-01 03:00:00+00:00,0.21,0.0,0.423,0.0,0.014,0.0
2023-01-01 04:00:00+00:00,0.22,0.0,0.488,0.0,0.006,0.0
2023-01-01 05:00:00+00:00,0.241,0.0,0.502,0.0,0.001,0.0
2023-01-01 06:00:00+00:00,0.249,0.0,0.615,0.0,0.0,0.0
2023-01-01 07:00:00+00:00,0.233,0.0,0.718,0.0,0.0,0.0
2023-01-01 08:00:00+00:00,0.195,0.0,0.818,0.0,0.0,0.0
2023-01-01 09:00:00+00:00,0.175,0.0,0.834,0.0,0.0,0.0
2023-01-01 10:00:00+00:00,0.157,0.0,0.661,0.0,0.0,0.0
2023-01-01 11:00:00+00:00,0.137,0.0,0.544,0.0,0.0,0.0
2023-01-01 12:00:00+00:00,0.119,0.0,0.424,0.0,0.005,0.0
2023-01-01 13:00:00+00:00,0.105,0.0,0.389,0.0,0.049,0.0
2023-01-01 14:00:00+00:00,0.086,0.0,0.343,0.0,0.135,0.016
2023-01-01 15:00:00+00:00,0.062,0.0,0.382,0.008,0.161,0.126
2023-01-01 16:00:00+00:00,0.031,0.082,0.444,0.124,0.123,0.25
2023-01-01 17:00:00+00:00,0.006,0.264,0.535,0.404,0.167,0.275
2023-01-01 18:00:00+00:00,0.0,0.447,0.68,0.622,0.181,0.185
2023-01-01 19:00:00+00:00,0.0,0.527,0.75,0.624,0.171,0.155
2023-01-01 20:00:00+00:00,0.0,0.556,0.739,0.553,0.192,0.15
2023-01-01 21:00:00+00:00,0.001,0.471,0.697,0.394,0.164,0.128
2023-01-01 22:00:00+00:00,0.004,0.283,0.632,0.246,0.118,0.054
2023-01-01 23:00:00+00:00,0.022,0.119,0.46,0.127,0.105,0.0
2023-01-02 00:00:00+00:00,0.069,0.0,0.285,0.004,0.058,0.0
2023-01-02 01:00:00+00:00,0.116,0.0,0.313,0.0,0.007,0.0
